Português,Sueco,Frase de Exemplo,Vocabulário (Extras)
1. Não,Inte,Jag förstår inte.,förstår — entendo
2. Também,Också,Han kommer också.,kommer — vem
3. Sempre,Alltid,Du är alltid glad.,glad — feliz
4. Nunca,Aldrig,Vi äter aldrig kött.,äter — comemos / kött — carne
5. Talvez,Kanske,Kanske imorgon.,imorgon — amanhã
6. Agora,Nu,Vad gör vi nu?,vad — o quê / gör — fazemos
7. Muito,Mycket,Tack så mycket!,tack — obrigado
8. Aqui,Här,Jag bor här.,bor — moro
9. Só/Apenas,Bara,Det kostar bara tio kronor.,kostar — custa / tio — dez
10. Frequentemente,Ofta,Vi ses ofta.,ses — nos vemos
11. Raramente,Sällan,Jag äter sällan fisk.,fisk — peixe
12. Lá/Ali,Där,Vem bor där?,vem — quem / bor — mora
13. Depois,Sen,Vi ses sen.,ses — nos vemos
14. Logo/Em breve,Snart,Tåget kommer snart.,tåget — o trem
15. Já,Redan,Är du redan här?,här — aqui
16. Ainda,Fortfarande,Jag väntar fortfarande.,väntar — espero/esperando
17. Realmente,Verkligen,Det är verkligen kallt.,kallt — frio
18. Quase,Nästan,Vi är nästan framme.,framme — no destino/chegamos
19. Às vezes,Ibland,Jag läser ibland.,läser — leio
20. Hoje,Idag,Vad händer idag?,händer — acontece
21. Ontem,Igår,Han var här igår.,var — estava/foi
22. Amanhã,Imorgon,Vi ses imorgon.,ses — nos vemos
23. Juntos,Tillsammans,Vi äter tillsammans.,äter — comemos
24. Bastante/Bem,Ganska,Det är ganska bra.,bra — bom/bem
25. Novamente,Igen,Kan du säga det igen?,kan — pode / säga — dizer
26. Especialmente,Särskilt,Det är inte särskilt kallt.,kallt — frio
27. Finalmente,Äntligen,Äntligen är du här!,här — aqui
28. Certamente,Säkert,Det går säkert bra.,går bra — vai dar tudo certo
29. Infelizmente,Tyvärr,Jag kan tyvärr inte.,kan — posso
30. Provavelmente,Förmodligen,Han kommer förmodligen.,kommer — vem
31. Absolutamente,Helt,Det är helt rätt.,rätt — certo/correto
32. Logo/Já,Strax,Jag är strax klar.,klar — pronto/terminado
33. Em casa,Hemma,Är du hemma?,är — está
34. Fora,Ute,Barnen leker ute.,barnen — as crianças / leker — brincam
35. Dentro,Inne,Det är varmt inne.,varmt — quente/calor
36. Longe,Långt,Han bor långt borta.,bor — mora / borta — longe/fora
37. Perto,Nära,Vi bor nära.,bor — moramos
38. Em cima,Uppe,Boken ligger uppe.,boken — o livro / ligger — fica/está
39. Em baixo,Nere,De väntar nere.,väntar — esperam
40. Atrás,Bakom,Stå inte bakom.,stå — fique de pé
41. Na frente,Framme,Titta framme.,titta — olha
42. Sozinho,Ensam,Jag är ensam.,är — estou
43. De novo,Åter,Han ringde åter.,ringde — ligou
44. Talvez (formal),Möjligen,Det är möjligen sant.,sant — verdade
45. Exatamente,Precis,Klockan är precis tio.,klockan — o relógio/a hora / tio — dez
46. Bastante,Rätt,Det är rätt dyrt.,dyrt — caro
47. Logo depois,Därefter,Vi äter därefter.,äter — comemos
48. Constantemente,Jämt,Hon pratar jämt.,pratar — fala
49. Quase nunca,Knappt,Jag ser honom knappt.,ser — vejo / honom — ele (obj.)
50. De jeito nenhum,Inte alls,Jag är inte alls trött.,trött — cansado
