# stable entry ID (do not change if users may have marked as known),# Swedish word (lemma),# verb | adjective | adverb | noun | numeral | etc.,# English translation,# Brazilian Portuguese translation,# semicolon-separated inflected forms for search,# optional CEFR level (A1–C2),# optional raw corpus frequency (Kelly),# optional words-per-million frequency (Kelly),# practice | kelly | manual,# example 1 Swedish sentence,# example 1 English gloss,# example 1 Portuguese gloss,# optional: past | present | future,# optional tokens: word|lemma|en|pt;word2|lemma2|en2|pt2,# example 2 Swedish (verbs: present tense),# example 2 English,# example 2 Portuguese,# example 2 tense key,# example 2 token breakdown,# example 3 Swedish (verbs: future tense),# example 3 English,# example 3 Portuguese,# example 3 tense key,# example 3 token breakdown,# optional usage note (Kelly source text)
id,lemma,type,english,portuguese,forms,cefr,frequency,wpm,source,ex1_sv,ex1_en,ex1_pt,ex1_tense,ex1_tokens,ex2_sv,ex2_en,ex2_pt,ex2_tense,ex2_tokens,ex3_sv,ex3_en,ex3_pt,ex3_tense,ex3_tokens,usage_note
adverb-aldrig,Aldrig,adverb,never,Nunca,aldrig,,,,practice,Vi äter aldrig kött.,we eat never meat,nós comemos nunca carne,,Vi|vi|we|nós;äter|äter|eat|comemos;aldrig|aldrig|never|nunca;kött.|kött|meat|carne,,,,,,,,,,,
adverb-alltid,Alltid,adverb,always,Sempre,alltid,,,,practice,Du är alltid glad.,you is always happy,você estou sempre feliz,,Du|du|you|você;är|är|is|estou;alltid|alltid|always|sempre;glad.|glad|happy|feliz,,,,,,,,,,,
verb-anvanda,Använda,verb,to use,Usar,använda;använde;använder;m,,,,practice,Du använde mobilen.,you use the phone,você usar o celular,past,Du|du|you|você;använde|använde|use|usar;mobilen.|mobil|the phone|o celular,Du använder mobilen.,you use the phone,você usar o celular,present,Du|du|you|você;använder|använd|use|usar;mobilen.|mobil|the phone|o celular,Du ska använda m.,you will use use,você vai usar usar,future,Du|du|you|você;ska|ska|will|vai;använda|använda|use|usar;m.|m|use|usar,
adjective-anvandbar,Användbar,adjective,useful,Útil,användbar,,,,practice,Den är användbar.,it is useful,ela estou útil,,Den|den|it|ela;är|är|is|estou;användbar.|användbar|useful|útil,,,,,,,,,,,
adverb-bakom,Bakom,adverb,behind,Atrás,bakom,,,,practice,Stå inte bakom.,stand not behind,fique de pé não atrás,,Stå|stå|stand|fique de pé;inte|inte|not|não;bakom.|bakom|behind|atrás,,,,,,,,,,,
adverb-bara,Bara,adverb,only / just,Só/Apenas,bara,,,,practice,Det kostar bara tio kronor.,it costs only ten,isso custa só dez,,Det|det|it|isso;kostar|kost|costs|custa;bara|bara|only|só;tio|tio|ten|dez;kronor.|krona|—|—,,,,,,,,,,,
verb-be,Be,verb,to ask / request,Pedir,be;bad;ber,,,,practice,Vi bad om hjälp.,we ask about help,nós pedir sobre ajuda,past,Vi|vi|we|nós;bad|bad|ask|pedir;om|om|about|sobre;hjälp.|hjälp|help|ajuda,Vi ber om hjälp.,we ask about help,nós pedir sobre ajuda,present,Vi|vi|we|nós;ber|ber|ask|pedir;om|om|about|sobre;hjälp.|hjälp|help|ajuda,Vi ska be om hjälp.,we will ask about help,nós vai pedir sobre ajuda,future,Vi|vi|we|nós;ska|ska|will|vai;be|be|ask|pedir;om|om|about|sobre;hjälp.|hjälp|help|ajuda,
verb-behova,Behöva,verb,to need,Precisar,behöva;behövde;behöver,,,,practice,Jag behövde hjälp.,I need help,eu precisar ajuda,past,Jag|jag|I|eu;behövde|behövde|need|precisar;hjälp.|hjälp|help|ajuda,Jag behöver hjälp.,I need help,eu precisar ajuda,present,Jag|jag|I|eu;behöver|behov|need|precisar;hjälp.|hjälp|help|ajuda,Jag ska behöva hjälp.,I will need help,eu vai precisar ajuda,future,Jag|jag|I|eu;ska|ska|will|vai;behöva|behöva|need|precisar;hjälp.|hjälp|help|ajuda,
verb-beratta,Berätta,verb,to tell,Contar (nar.),berätta;berättade;berättar,,,,practice,Han berättade det.,he tell it,ele contar (nar.) isso,past,Han|han|he|ele;berättade|berättade|tell|contar (nar.);det.|det|it|isso,Han berättar det.,he tell it,ele contar (nar.) isso,present,Han|han|he|ele;berättar|berättar|tell|contar (nar.);det.|det|it|isso,Han ska berätta det.,he will tell it,ele vai contar (nar.) isso,future,Han|han|he|ele;ska|ska|will|vai;berätta|berätta|tell|contar (nar.);det.|det|it|isso,
verb-betala,Betala,verb,to pay,Pagar,betala;betalade;betalar,,,,practice,Jag betalade notan.,I pay the bill,eu pagar a conta (rest.),past,Jag|jag|I|eu;betalade|betalade|pay|pagar;notan.|nota|the bill|a conta (rest.),Jag betalar notan.,I pay the bill,eu pagar a conta (rest.),present,Jag|jag|I|eu;betalar|betalar|pay|pagar;notan.|nota|the bill|a conta (rest.),Jag ska betala notan.,I will pay the bill,eu vai pagar a conta (rest.),future,Jag|jag|I|eu;ska|ska|will|vai;betala|betala|pay|pagar;notan.|nota|the bill|a conta (rest.),
