Português,Sueco,Frase de Exemplo,Vocabulário (Extras)
1. Bom,Bra,Det är bra.,det — isso/isto
2. Grande,Stor,Huset är stort.,huset — a casa
3. Pequeno,Liten,Bilen är liten.,bilen — o carro
4. Novo,Ny,Jag har en ny bok.,bok — livro
5. Velho,Gammal,Han är gammal.,han — ele
6. Feliz,Glad,Hon är glad.,hon — ela
7. Triste,Ledsen,Varför är du ledsen?,varför — porquê
8. Cansado,Trött,Jag är trött.,jag — eu
9. Quente,Varm,Maten är varm.,maten — a comida
10. Frio,Kall,Det är kallt ute.,ute — lá fora
11. Bonito,Fin,Klänningen är fin.,klänningen — o vestido
12. Mau,Dålig,Filmen var dålig.,filmen — o filme
13. Caro,Dyr,Den är för dyr.,för — demasiado
14. Barato,Billig,Maten är billig.,maten — a comida
15. Difícil,Svår,Frågan är svår.,frågan — a pergunta
16. Fácil,Lätt,Det är lätt.,det — isso
17. Importante,Viktig,Det är viktigt.,det — isso
18. Faminto,Hungrig,Är du hungrig?,är — estás
19. Sedento,Törstig,Han är törstig.,han — ele
20. Rápido,Snabb,Bilen är snabb.,bilen — o carro
21. Lento,Långsam,Han är långsam.,han — ele
22. Rico,Rik,De är rika.,de — eles
23. Pobre,Fattig,Han är fattig.,han — ele
24. Inteiro,Hel,En hel dag.,dag — dia
25. Vermelho,Röd,Bilen är röd.,bilen — o carro
Português,Sueco,Frase de Exemplo,Vocabulário (Extras)
26. Curto,Kort,Klänningen är kort.,klänningen — o vestido
27. Longo,Lång,Resan är lång.,resan — a viagem
28. Alto (pessoa),Lång,Han är lång.,han — ele
29. Baixo (pessoa),Kort,Hon är kort.,hon — ela
30. Largo,Bred,Vägen är bred.,vägen — o caminho/estrada
31. Estreito,Smal,Gatan är smal.,gatan — a rua
32. Gordo,Tjock,Katten är tjock.,katten — o gato
33. Magro,Smal,Han är smal.,han — ele
34. Doente,Sjuk,Jag är sjuk.,jag — eu
35. Saudável,Frisk,Barnet är friskt.,barnet — a criança
36. Certo/Correto,Rätt,Det är rätt.,det — isso
37. Errado,Fel,Svaret är fel.,svaret — a resposta
38. Próximo,Nästa,Nästa vecka.,vecka — semana
39. Último,Sista,Det är sista bussen.,bussen — o ônibus
40. Diferente,Olika,Vi är olika.,vi — nós
41. Igual,Lika,De är lika.,de — eles
42. Sozinho,Ensam,Är du ensam?,är — você está?
43. Cheio,Full,Glaset är fullt.,glaset — o copo
44. Vazio,Tom,Flaskan är tom.,flaskan — a garrafa
45. Pesado,Tung,Väskan är tung.,väskan — a bolsa/mala
46. Leve,Lätt,Den är lätt.,den — ela/esta (objeto)
47. Escuro,Mörk,Det är mörkt ute.,ute — lá fora
48. Claro,Ljus,Rummet är ljust.,rummet — o quarto/sala
49. Sujo,Smutsig,Bilen är smutsig.,bilen — o carro
50. Limpo,Ren,Tröjan är ren.,tröjan — a blusa/suéter
51. Maduro,Mogen,Frukten är mogen.,frukten — a fruta
52. Estranho,Konstig,Det är konstigt.,det — isso
53. Comum,Vanlig,En vanlig dag.,dag — dia
54. Raro,Ovanlig,En ovanlig fågel.,fågel — pássaro
55. Perigoso,Farlig,Hunden är farlig.,hunden — o cachorro
56. Seguro,Säker,Är du säker?,—
57. Calmo,Lugn,Kvällen är lugn.,kvällen — a noite
58. Barulhento,Högljudd,Grannen är högljudd.,grannen — o vizinho
59. Silencioso,Tyst,Det är tyst.,—
60. Grátis,Gratis,Maten är gratis.,maten — a comida
61. Caro,Dyr,Klockan är dyr.,klockan — o relógio
62. Pobre,Fattig,Landet är fattigt.,landet — o país
63. Rico,Rik,Mannen är rik.,mannen — o homem
64. Largo,Bred,Sängen är bred.,sängen — a cama
65. Estreito,Smal,Vägen är smal.,vägen — o caminho/estrada
66. Interessante,Intressant,Boken är intressant.,boken — o livro
67. Chato,Tråkig,Filmen är tråkig.,filmen — o filme
68. Gentil,Snäll,Du är snäll.,—
69. Cruel,Elak,Han är elak.,—
70. Profundo,Djup,Sjön är djup.,sjön — o lago
71. Raso,Grund,Poolen är grund.,poolen — a piscina
72. Justo,Rättvis,Läraren är rättvis.,läraren — o professor
73. Injusto,Orättvis,Det är orättvist.,—
74. Útil,Användbar,Den är användbar.,—
75. Inútil,Värdelös,Maskinen är värdelös.,maskinen — a máquina
