Português,Sueco,Passado (Preteritum),Presente (Presens),Futuro (Ska + Inf.),Vocabulário (Extras)
1. Ser/Estar,Vara,Jag var trött.,Jag är trött.,Jag ska vara trött.,trött - cansado
2. Ter,Ha,Du hade tid.,Du har tid.,Du ska ha tid.,tid - tempo
3. Fazer,Göra,Han gjorde mat.,Han gör mat.,Han ska göra mat.,mat - comida
4. Ir/Andar,Gå,Hon gick ut.,Hon går ut.,Hon ska gå ut.,ut - fora/para fora
5. Dizer,Säga,Vi sade nej.,Vi säger nej.,Vi ska säga nej.,nej - não
6. Poder,Kunna,Ni kunde sjunga.,Ni kan sjunga.,Ni ska kunna sjunga.,sjunga - cantar
7. Ver,Se,De såg solen.,De ser solen.,De ska se solen.,solen - o sol
8. Saber,Veta,Jag visste allt.,Jag vet allt.,Jag ska veta allt.,allt - tudo
9. Querer,Vilja,Du ville fika.,Du vill fika.,Du ska vilja fika.,fika - café com pausa
10. Falar,Prata,Han pratade nu.,Han pratar nu.,Han ska prata nu.,nu - agora
11. Vir,Komma,Hon kom hit.,Hon kommer hit.,Hon ska komma hit.,hit - para cá
12. Pegar/Tomar,Ta,Vi tog bussen.,Vi tar bussen.,Vi ska ta bussen.,bussen - o ônibus
13. Receber,Få,Ni fick glass.,Ni får glass.,Ni ska få glass.,glass - sorvete
14. Começar,Börja,De började boken.,De börjar boken.,De ska börja boken.,boken - o livro
15. Terminar,Sluta,Jag slutade tidigt.,Jag slutar tidigt.,Jag ska sluta tidigt.,tidigt - cedo
16. Comer,Äta,Du åt fisk.,Du äter fisk.,Du ska äta fisk.,fisk - peixe
17. Beber,Dricka,Han drack vatten.,Han dricker vatten.,Han ska dricka v.,vatten - água
18. Dormir,Sova,Hon sov länge.,Hon sover länge.,Hon ska sova länge.,länge - por muito tempo
19. Trabalhar,Jobba,Vi jobbade hårt.,Vi jobbar hårt.,Vi ska jobba hårt.,hårt - duro/pesado
20. Comprar,Köpa,Ni köpte bröd.,Ni köper bröd.,Ni ska köpa bröd.,bröd - pão
21. Vender,Sälja,De sålde bilen.,De säljer bilen.,De ska sälja bilen.,bilen - o carro
22. Ler,Läsa,Jag läste tidningen.,Jag läser tidningen.,Jag ska läsa t.,tidningen - o jornal
23. Escrever,Skriva,Du skrev brev.,Du skriver brev.,Du ska skriva brev.,brev - carta
24. Encontrar,Hitta,Han hittade nyckeln.,Han hittar nyckeln.,Han ska hitta n.,nyckeln - a chave
25. Pensar,Tänka,Hon tänkte djupt.,Hon tänker djupt.,Hon ska tänka djupt.,djupt - profundamente
26. Acreditar,Tro,Vi trodde det.,Vi tror det.,Vi ska tro det.,det - isso/isto
27. Ajudar,Hjälpa,Ni hjälpte mig.,Ni hjälper mig.,Ni ska hjälpa mig.,mig - me/mim
28. Esperar,Vänta,De väntade länge.,De väntar länge.,De ska vänta länge.,länge - muito tempo
29. Perguntar,Fråga,Jag frågade varför.,Jag frågar varför.,Jag ska fråga varför.,varför - por que
30. Responder,Svara,Du svarade snabbt.,Du svarar snabbt.,Du ska svara snabbt.,snabbt - rápido
31. Morar,Bo,Han bodde här.,Han bor här.,Han ska bo här.,här - aqui
32. Viver,Leva,Hon levde ensam.,Hon lever ensam.,Hon ska leva ensam.,ensam - sozinho/a
33. Morrer,Dö,Vi dog av skratt.,Vi dör av skratt.,Vi ska dö av skratt.,skratt - riso
34. Amar,Älska,Ni älskade livet.,Ni älskar livet.,Ni ska älska livet.,livet - a vida
35. Odiar,Hata,De hatade kyla.,De hatar kyla.,De ska hata kyla.,kyla - frio
36. Precisar,Behöva,Jag behövde hjälp.,Jag behöver hjälp.,Jag ska behöva hjälp.,hjälp - ajuda
37. Usar,Använda,Du använde mobilen.,Du använder mobilen.,Du ska använda m.,mobilen - o celular
38. Entender,Förstå,Han förstod allt.,Han förstår allt.,Han ska förstå allt.,allt - tudo
39. Segurar,Hålla,Hon höll handen.,Hon håller handen.,Hon ska hålla handen.,handen - a mão
40. Olhar,Titta,Vi tittade på TV.,Vi tittar på TV.,Vi ska titta på TV.,på - em/no/na
41. Ouvir,Lyssna,Ni lyssnade noga.,Ni lyssnar noga.,Ni ska lyssna noga.,noga - atentamente
42. Correr,Springa,De sprang fort.,De springer fort.,De ska springa fort.,fort - depressa
43. Sentar,Sitta,Jag satt där.,Jag sitter där.,Jag ska sitta där.,där - lá/ali
44. Estar de pé,Stå,Du stod upp.,Du står upp.,Du ska stå upp.,upp - para cima/em pé
